,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13%,"North Fork of Long Island, Long Island, New York, US",750 ml,Red, US,6/1/2019,"Earthy aromas of tilled soil and resinous herbs immediately entice, with a dense core of dark cherry and red plum offering solid base notes. There's real presence and intensity to the palate, displaying powerful waves of thick-skinned berry flavors that come with grip and persistence, but not overbearingly so. A granite twang and more earth tones linger on the finish. Drink now–2025.",Estate Bottled,,Osprey's Dominion 2013 Estate Bottled Cabernet Franc (North Fork of Long Island),$22, New York,92, Long Island,Alexander Peartree,@apatrone23,North Fork of Long Island,Not rated yet [Add Your Review],Cabernet Franc,2013,Osprey's Dominion
1,14.2%,"Lake County, Lake County, California, US",750 ml,Red, US,6/1/2019,"A generous helping of spicy, smoky oak blends with a rich and saturated black fruit flavor in this full-bodied, moderately tannic and seductive wine. Aged in 30% new American and French barrels, it offers layers of flavor, a good sense of depth and plenty of structure for pairing with big proteins.",,,Steele 2016 Cabernet Franc (Lake County),$20, California,92, Lake County,Jim Gordon,@gordone_cellars,Lake County,Not rated yet [Add Your Review],Cabernet Franc,2016,Steele
2,13%,"Atlantida, Uruguay",750 ml,Red, Uruguay,6/1/2019,"Complex aromas of sandalwood, baking spices and berry fruits are entirely convincing. This Cab Franc feels fleshy, while firm tannins make the palate crunchy and far from soft. Savory, spicy plum flavors finish with mild notes of oak but nothing that suggests woodiness. Drink through 2021.",Gran Ombú,MYB Imports,Bracco Bosca 2017 Gran Ombú Cabernet Franc (Atlantida),$60,Atlantida,91,,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Cabernet Franc,2017,Bracco Bosca
3,12.5%,"North Fork of Long Island, Long Island, New York, US",750 ml,Red, US,6/1/2019,"Aromas of tilled earth, pink peppercorn, juniper and tart berries carry the nose of this wine. There's a pleasing density to these tones on the medium-bodied palate, bolstered by bouncy acidity and ripe tannins. Plenty of herbal and earthy nuances persist through the lengthy finish.",Estate Grown,,Sherwood House Vineyards 2014 Estate Grown Cabernet Franc (North Fork of Long Island),$40, New York,91, Long Island,Alexander Peartree,@apatrone23,North Fork of Long Island,Not rated yet [Add Your Review],Cabernet Franc,2014,Sherwood House Vineyards
4,14%,"Uruguay, Uruguay",750 ml,Red, Uruguay,6/1/2019,"This single-block Cab Franc opens with herbal aromas of leafy plum and berry fruits. A full, rounded palate holds flavors of coffee, plum, basil and game. There's plenty of heft and texture to this wine, but soft tannins and full ripeness make it ready to drink now.",Petit Clos Block #127,Pacific Highway Wines & Spirits,Garzón 2016 Petit Clos Block #127 Cabernet Franc (Uruguay),$70,Uruguay,91,,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Cabernet Franc,2016,Garzón
5,12.4%,"Finger Lakes, Finger Lakes, New York, US",750 ml,Red, US,6/1/2019,"A dense nose of dark bramble berry and black berry offers a brooding start, with accents of peppercorn, herbs and iodine adding interest. This is well-concentrated on the medium-bodied palate in dark, thick-skinned berry flavors that sit on a silken texture. A healthy grip of tannins and plenty of peppery spice provide a beautiful counterbalance.",,,Shalestone 2016 Cabernet Franc (Finger Lakes),$20, New York,91, Finger Lakes,Alexander Peartree,@apatrone23,Finger Lakes,Not rated yet [Add Your Review],Cabernet Franc,2016,Shalestone
6,14.2%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red, US,6/1/2019,"The mountainous terrain keeps this bottling on the lighter red-fruit side of the grape, offering aromas of tart cranberry, rose petals, wet gravel and a hint of oaky vanilla. The palate is fresh with pomegranate, raspberry jam and tart red plum, spiced by white pepper.",Francville Vineyard,,Cooper-Garrod 2015 Francville Vineyard Cabernet Franc (Santa Cruz Mountains),$50, California,91, Central Coast,Matt Kettmann,@mattkettmann,Santa Cruz Mountains,Not rated yet [Add Your Review],Cabernet Franc,2015,Cooper-Garrod
7,12.8%,"Finger Lakes, Finger Lakes, New York, US",750 ml,Red, US,6/1/2019,"While closed at first on the nose, this unoaked Cabernet Franc eventually opens up to a pretty array of red fruit, floral and peppery spice aromas. The palate is rounded and juicy in feel, with soft tannins that offer a perfect match to the smooth, well-structured body. Loads of mixed berry flavors abound throughout the midpalate, with white pepper lingering on the close.",Estate Bottled T23 Unoaked,,Lamoreaux Landing 2017 Estate Bottled T23 Unoaked Cabernet Franc (Finger Lakes),$20, New York,91, Finger Lakes,Alexander Peartree,@apatrone23,Finger Lakes,Not rated yet [Add Your Review],Cabernet Franc,2017,Lamoreaux Landing
8,13.5%,"Finger Lakes, Finger Lakes, New York, US",750 ml,Red, US,6/1/2019,"Blended with 25% Merlot, this wine offers a mix of black- and red-berry aromas on the nose, with hints of peppercorn, tilled earth and a sanguine tone. It offers a persistent, juicy core of thick-skinned berries, with a slick of granite and tangy acidity. The tannins are light yet peppery, offering the perfect amount of support for easy enjoyment in the near term.",,,Boundary Breaks 2017 Cabernet Franc (Finger Lakes),$20, New York,90, Finger Lakes,Alexander Peartree,@apatrone23,Finger Lakes,Not rated yet [Add Your Review],Cabernet Franc,2017,Boundary Breaks
9,14%,"North Fork of Long Island, Long Island, New York, US",750 ml,Red, US,6/1/2019,"There's a soothing nature to the bouquet of this wine, with well-formed aromas of cherry and cranberry that meld with shades of fresh herbs, delicate black pepper and blood-orange zest. The medium-bodied palate is rounded and smooth in sinewy tannins yet pleasantly vibrant in acidity, displaying vibrant red-berry and herbal flavors that linger on the finish. Drink now–2022.",Reserve,,Macari 2015 Reserve Cabernet Franc (North Fork of Long Island),$38, New York,90, Long Island,Alexander Peartree,@apatrone23,North Fork of Long Island,Not rated yet [Add Your Review],Cabernet Franc,2015,Macari
