,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13%,"Moulin-à-Vent, Beaujolais, France",750 ml,Red, France,6/1/2019,"Owned by the Beaune negociant firm Louis Jadot, this producer is major among the Beaujolais crus. As in this wine, the style is rich, wood aged and intense with ripe cherry and acidity. This single-vineyard wine is structured and ageworthy. Drink from 2021.",Clos des Thorins,Kobrand,Château des Jacques 2016 Clos des Thorins  (Moulin-à-Vent),$41, Beaujolais,93,Moulin-à-Vent,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Gamay,2016,Château des Jacques
1,14.5%,"Santa Maria Valley, Central Coast, California, US",750 ml,Red, US,6/1/2019,"The potential for Gamay Noir to become an important Central Coast grape is made apparent with almost every bottling. In this case, aromas of strawberry, cherry jam, gravel and singed oak lead into a broad, immensely drinkable palate of red plum, white pepper and salted meats. Glug up!",Murmur Vineyard,,Stasis 2016 Murmur Vineyard Gamay Noir (Santa Maria Valley),$42, California,92, Central Coast,Matt Kettmann,@mattkettmann,Santa Maria Valley,Not rated yet [Add Your Review],"Gamay Noir, Gamay",2016,Stasis
2,13.5%,"Moulin-à-Vent, Beaujolais, France",750 ml,Red, France,6/1/2019,"This well-structured, layered wine offers beautiful ripe cherry and red-berry fruits. Aged in wood, it has spice as well as great richness. Its fresh edge gives a lift at the end while the tannins will let it age. Owned by the Beaune negociant Louis Jadot, this wine should be kept until 2021.",La Roche,Kobrand,Château des Jacques 2016 La Roche  (Moulin-à-Vent),$41, Beaujolais,92,Moulin-à-Vent,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Gamay,2016,Château des Jacques
3,13%,"Beaujolais-Leynes, Beaujolais, France",750 ml,Red, France,6/1/2019,"This dense wine, aged for 22 months in wood, is rich with black-cherry flavors and structured tannins. Fresh acidity, juicy fruits and good concentration give this wine weight and the potential for a few more months aging. Drink from late 2019.",Le Clos Jadis,Vintage '59 Imports,Château de Lavernette 2016 Le Clos Jadis  (Beaujolais-Leynes),$35, Beaujolais,91,Beaujolais-Leynes,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Gamay,2016,Château de Lavernette
4,13%,"Juliénas, Beaujolais, France",750 ml,Red, France,6/1/2019,"This wine comes from a seven-acre vineyard. It is structured, with plenty of juicy red-cherry flavors and acidity while having the weight to age well. Drink this full wine with its edge of tannins for aging from late 2019.",Domaine de la Conseillère,"Frederick Wildman & Sons, Ltd",Vincent 2016 Domaine de la Conseillère  (Juliénas),$29, Beaujolais,90,Juliénas,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Gamay,2016,Vincent
5,13%,"Beaujolais-Leynes, Beaujolais, France",750 ml,Red, France,6/1/2019,"Produced from biodynamically grown grapes, this wine is full of blackberry fruits that are laced with red-cherry acidity. The wine, which is produced in the new appellation of Beajolais-Leynes, is fully structured and dense, ready to drink from late 2019.",Le Clos,Vintage '59 Imports,Château de Lavernette 2017 Le Clos  (Beaujolais-Leynes),$25, Beaujolais,89,Beaujolais-Leynes,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Gamay,2017,Château de Lavernette
6,8.5%,"Bugey, France Other, France",750 ml,Sparkling, France,6/1/2019,This Cerdon mountain-vineyard sparkling wine entertains with a strong mousse that pushes out bubbles to go with the red-fruit flavors and touch of tannic structure. The low-alcohol wine may be described as dry but it is also fruity and lively. Drink now.,Cerdon Méthode Ancestrale Classic Sec,MROI LLC,Lingot Martin NV Cerdon Méthode Ancestrale Classic Sec Gamay (Bugey),$15, France Other,87,Bugey,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Gamay,,Lingot Martin
7,13%,"Beaujolais-Villages, Beaujolais, France",750 ml,Red, France,6/1/2019,"Ripe red cherries and some tangy acidity balance the soft tannins of this open, fruity wine. Aged in tank, the wine sings fruitiness and easiness. Drink now.",,Vintage '59 Imports,Château de Lavernette 2017  Beaujolais-Villages,$20, Beaujolais,86,Beaujolais-Villages,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Gamay,2017,Château de Lavernette
8,8%,"Bugey, France Other, France",750 ml,Sparkling, France,6/1/2019,This off-dry rosé wine from mountain vineyards an hour east of Lyon is full of raspberry fruits and fresh acidity. Its lightness and fruitiness make it a perfect summer aperitif wine to drink now.,Cerdon Méthode Ancestrale Classic Demi-Sec,MROI LLC,Lingot Martin NV Cerdon Méthode Ancestrale Classic Demi-Sec Gamay (Bugey),$15, France Other,86,Bugey,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Gamay,,Lingot Martin
9,13.5%,"Ribbon Ridge, Willamette Valley, Oregon, US",750 ml,Red, US,4/1/2019,"This cuvée features a single clone, different from the two in the winery's other Gamay Noir. It's an aromatic, elegant wine with exceptional finesse—a bowl of strawberries and raspberries, lightly dusted with cocoa powder. The finish is taut and tangy, and the wine should continue to evolve over the next half decade.",Due East,,Brick House 2017 Due East Gamay Noir (Ribbon Ridge),$36, Oregon,92, Willamette Valley,Paul Gregutt,@paulgwine ,Ribbon Ridge,Not rated yet [Add Your Review],"Gamay Noir, Gamay",2017,Brick House
