,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,15.5%,"Paso Robles Willow Creek District, Central Coast, California, US",750 ml,Red, US,7/1/2019,"Grenache is not known as the most ageworthy wine, but this bottling boasts all the bones to make it happen. Elegant aromas of boysenberry, lavender and dried red flowers lead into a tightly woven palate that combines ripe berries with gravelly minerality and stiff tannins. Drink 2020–2030.",,,Caliza 2016 Grenache (Paso Robles Willow Creek District),$65, California,93, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles Willow Creek District,Not rated yet [Add Your Review],Grenache,2016,Caliza
1,14%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2019,"This twist-top bottling is an easy, fun and very likable wine, starting with fresh aromas of sour cherry, gravelly minerality, wild thyme and dried sagebrush. Ripe red plums and strawberries make for a lush palate yet it's restrained with a chalky streak.",,,Sculpterra 2016 Grenache (Paso Robles),$32, California,93, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Grenache,2016,Sculpterra
2,14.1%,"Snipes Mountain, Columbia Valley, Washington, US",750 ml,Red, US,7/1/2019,"The aromas of this 100% varietal leap up with compelling notes of kirsch, plum, pomegranate, strawberry, white pepper and herb. The palate brings a beautiful sense of texture, layering and richness, followed by a hyper-extended finish. It's a knee-buckler.",Upland Vineyard,,Latta 2015 Upland Vineyard Grenache (Snipes Mountain),$45, Washington,93, Columbia Valley,Sean P. Sullivan,@wawinereport,Snipes Mountain,Not rated yet [Add Your Review],Grenache,2015,Latta
3,12.5%,"Applegate Valley, Southern Oregon, Oregon, US",750 ml,Rose, US,7/1/2019,"A pretty pale copper color and 100% varietal, this is elegantly balanced between ripe peach and tangy acids. There's a lively tension that energizes the wine, lifting it along and through a delightfully extended finish. Fermented entirely in stainless, it's one of three exceptional rosés from Quady North.",Rosé of,,Quady North 2018 Rosé of Grenache (Applegate Valley),$19, Oregon,92, Southern Oregon,Paul Gregutt,@paulgwine ,Applegate Valley,Not rated yet [Add Your Review],Grenache,2018,Quady North
4,14.6%,"Edna Valley, Central Coast, California, US",750 ml,Red, US,7/1/2019,"There's incredible elegance and layers to this cool-climate bottling, starting with cinnamon, clove and red cherry on the nose. There is a nice bounce to the palate of berries, pepper and dried herbs, with a tension that keeps the sip dry and tight.",,,Chamisal Vineyards 2016 Grenache (Edna Valley),$45, California,92, Central Coast,Matt Kettmann,@mattkettmann,Edna Valley,Not rated yet [Add Your Review],Grenache,2016,Chamisal Vineyards
5,14.2%,"Arroyo Seco, Central Coast, California, US",750 ml,Red, US,7/1/2019,"Soft aromas of baked red cherry, crushed clove, star anise and gingerbread make for a very spicy expression of Grenache from this warmer vineyard in the foothills. There is great grip and texture to the sip, where a core of red fruit and baking-spice flavors hide behind the tannins and fresh acidity.",,,Mesa Del Sol 2015 Grenache (Arroyo Seco),$32, California,92, Central Coast,Matt Kettmann,@mattkettmann,Arroyo Seco,Not rated yet [Add Your Review],Grenache,2015,Mesa Del Sol
6,15.3%,"Ballard Canyon, Central Coast, California, US",750 ml,Red, US,7/1/2019,"Black-raspberry, clove, star anise, vanilla and pie crust aromas all show on the lush and rich nose of this bottling by Grenache-lover Mikael Sigouin. It's soft and plush on the palate with loads of baking-spice and ripe cherry flavors, like drinking a hot pie fresh from the oven.",Clone 362 Tierra Alta Vineyard,,Kaena 2016 Clone 362 Tierra Alta Vineyard Grenache (Ballard Canyon),$50, California,91, Central Coast,Matt Kettmann,@mattkettmann,Ballard Canyon,Not rated yet [Add Your Review],Grenache,2016,Kaena
7,15.2%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2019,"Dried black cherry, muddy earth, star anise and black-plum paste aromas show on the nose of this bottling. There are strong spice tones to the palate, where star anise and dried ginger powder meet with bright and fresh flavors of strawberry sorbet.",Di Domenico,,Le Vigne 2016 Di Domenico Grenache (Paso Robles),$38, California,91, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Grenache,2016,Le Vigne
8,15.2%,"California, California Other, California, US",750 ml,Red, US,7/1/2019,"Baked black-cherry aromas meet with cinnamon stick and nutmeg on the rich spicy nose of this bottling by Tyler Russell. Black cherry also forms the core of the palate, which is balanced by fresh acidity and finished on a French toast flavor.",,,Nelle 2016 Grenache (California),$39, California,91, California Other,Matt Kettmann,@mattkettmann,California,Not rated yet [Add Your Review],Grenache,2016,Nelle
9,13.9%,"Mendocino, Mendocino County, California, US",750 ml,Rose, US,7/1/2019,"Robust fruit shows on the nose of this medium-bodied, relatively weighty wine, sweetly creamy and lush on the palate in a layering of peach and candied lemon.",Rosé of,,Clif Family 2018 Rosé of Grenache (Mendocino),$26, California,90, Mendocino County,Virginie Boone,@vboone,Mendocino,Not rated yet [Add Your Review],Grenache,2018,Clif Family
