,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,12%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,6/1/2019,"Struck flint, citrus and lemongrass start off quietly on the nose. A light yet smooth palate brings fleshy tones of yellow apple with a bit a spice. This well-balanced wine would be a welcome addition to the dinner table.",,,Dr. Konstantin Frank 2017 Grüner Veltliner (Finger Lakes),$15, New York,88, Finger Lakes,Alexander Peartree,@apatrone23,Finger Lakes,Not rated yet [Add Your Review],Grüner Veltliner,2017,Dr. Konstantin Frank
1,13.3%,"Monterey, Central Coast, California, US",750 ml,White, US,6/1/2019,"The nose begins with candied lemon, ripe apple flesh, spring flowers and citrus pith, then the palate offers melon-syrup and orange-blossom flavors.",Rava Blackjack Vineyard,,Darcie Kent Vineyards 2017 Rava Blackjack Vineyard Grüner Veltliner (Monterey),$30, California,87, Central Coast,Matt Kettmann,@mattkettmann,Monterey,Not rated yet [Add Your Review],Grüner Veltliner,2017,Darcie Kent Vineyards
2,12%,"Seneca Lake, Finger Lakes, New York, US",750 ml,White, US,6/1/2019,"Aromas of pollen, green-apple candy and white cherry grace the nose. This is tart in profile on the palate lead by a green-apple flavor, with rounder notions of citrus and stone. A savory yeasty tone lingers on the finish.",William Vigne,,Fulkerson 2017 William Vigne Grüner Veltliner (Seneca Lake),$15, New York,86, Finger Lakes,Alexander Peartree,@apatrone23,Seneca Lake,Not rated yet [Add Your Review],Grüner Veltliner,2017,Fulkerson
3,12.5%,"Pannon, Hungary",750 ml,White, Hungary,5/1/2019,"This Hungarian wine is light straw colored in the glass with aromas of lemon curd, white peach and Turkish delight. It is bright yet soft on the palate, with flavors of white peach, grapefruit pith, rose petal and apricot before the lifted finish.",,Quintessential Wines,Count Károlyi 2017 Grüner Veltliner (Pannon),$12,Pannon,87,,Jeff Jenssen,@worldwineguys,,Not rated yet [Add Your Review],Grüner Veltliner,2017,Count Károlyi
4,12.5%,"Wachau, Austria",750 ml,White, Austria,3/1/2019,"Wonderfully reductive notes of gunflint blend with aromatic notes of baked apple and citrus zestiness on the nose. The palate reprises these notes and adds a vivid, textured earthiness. At its core is a mouthwatering saltiness edged with pleasantly bitter pith and dusty sprays of white pepper. What concentration, what allure, what freshness, even with five years of maturity.",Baumpresse Im Weingebirge,"Skurnik Wines, Inc",Nikolaihof 2013 Baumpresse Im Weingebirge Grüner Veltliner (Wachau),$70,Wachau,96,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],Grüner Veltliner,2013,Nikolaihof
5,14%,"Wachau, Austria",750 ml,White, Austria,3/1/2019,"Both ripe pear and golden stone fruit beckon with their sunny juiciness on the nose. The palate then presents a tight, rich core of salty, spicy yeast, miso and pepper tones. The pithy texture and the lemony brightness are ideal counterweights in this compact, concentrated and complex wine.",Ried Achleiten Smaragd,Carlo Huber Selections,Josef Jamek 2017 Ried Achleiten Smaragd Grüner Veltliner (Wachau),$48,Wachau,96,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],Grüner Veltliner,2017,Josef Jamek
6,11.5%,"Wachau, Austria",750 ml,White, Austria,3/1/2019,"Earthy, juicy ripeness of Russet pear is evoked vividly on the nose, while white pepper and ground stone shimmer in the background. The palate is juicy at first, but soon the salty, yeasty, almost cheesy core spreads its savory magic, not without adding vivid apple notes. A very complex and deeply satisfying wine. The finish belongs to zesty, clean lemon.",Im Weingebirge Federspiel,"Skurnik Wines, Inc",Nikolaihof 2010 Im Weingebirge Federspiel Grüner Veltliner (Wachau),$30,Wachau,96,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],Grüner Veltliner,2010,Nikolaihof
7,13%,"Kamptal, Austria",750 ml,White, Austria,3/1/2019,"Crushed sage, yarrow and mossy earthiness entice on the nose. On the palate, rich yeasty texture and fine, high-toned citrus freshness frame and embrace all of this savory charm. This is highly concentrated, tingling with pepper and sage, brimming with pear fruit and lemon freshness. Every molecule of fluid is crammed with sheer flavor, yet there is nothing fat about these wines.",Ried Renner,"Skurnik Wines, Inc",Schloss Gobelsburg 2016 Ried Renner Grüner Veltliner (Kamptal),$30,Kamptal,96,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],Grüner Veltliner,2016,Schloss Gobelsburg
8,14.5%,"Wachau, Austria",750 ml,White, Austria,3/1/2019,"Notes of salty miso, celery, lemon and green pear unite into an intriguing nose. On the palate, it is ripe, juicy pear that takes the lead, but that salty zestiness, that edge of peppery savoriness is always present, adding freshness and allure to this fluid, slender, concentrated and zesty wine. The finish echoes with citrus and white pepper. It will take some time to come into its powerful own. Drink 2020–2030.",Ried Achleiten Smaragd,Gonzalez Byass USA,Domäne Wachau 2017 Ried Achleiten Smaragd Grüner Veltliner (Wachau),$46,Wachau,95,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],Grüner Veltliner,2017,Domäne Wachau
9,14%,"Kremstal, Austria",750 ml,White, Austria,3/1/2019,"Lemon balm and nettle notes gently insinuate their savoriness into a fruity mix of ripe lemon and pear. This game of savory, almost salty fruitiness continues on the fluid body, which is tense and wonderfully taut with juicy freshness. Lemon and pear for now take center stage, but salty yeast informs that vivid zestiness at the core.",Herzstück vom Kirchenberg,"Skurnik Wines, Inc",Nigl 2017 Herzstück vom Kirchenberg Grüner Veltliner (Kremstal),$62,Kremstal,95,,Anne Krebiehl MW,@AnneInVino,,Not rated yet [Add Your Review],Grüner Veltliner,2017,Nigl
