,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13%,"Taurasi, Southern Italy, Italy",750 ml,Red, Italy,6/1/2019,"Wild berry, underbrush, tilled earth, leather and blue flower aromas shape the nose of this fragrant, stunning red. The newest Taurasi addition to the firm's already impressive line up, this is focused, terroir-driven and loaded with finesse. It delivers flavors of juicy wild cherry, crushed rasperry, blood orange, star anise and tobacco, framed in lithe, polished tannins and fresh acidity. While already enjoyable, it will also age well for years. Drink through 2030.",Stilema,LLS–Winebow,Mastroberardino 2015 Stilema  (Taurasi),$110, Southern Italy,96,Taurasi,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2015,Mastroberardino
1,13.5%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,6/1/2019,"Deep and dense aromas of loamy soil, packed violets, black-currant jellies and a touch of prune show on the nose of this bottling of an obscure Italian grape. The palate is thick with stewed black-fruit flavors, framed by tense tannins, buoyant acidity, licorice spice and plenty of earthy grip.",Matela Le Bon Climat Vineyard,,Bevela 2012 Matela Le Bon Climat Vineyard Teroldego (Santa Barbara County),$40, California,90, Central Coast,Matt Kettmann,@mattkettmann,Santa Barbara County,Not rated yet [Add Your Review],"Teroldego, Italian Red",2012,Bevela
2,14.5%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,6/1/2019,"The aromas offer enchanting notes of red cherry, tar, raspberry, herb, cranberry, spice and herb. The palate dances softly, with a sense of freshness and brightness that heightens the interest. A mouthwatering finish with caramel notes caps it off.",Vineyard Series Art Den Hoed Vineyard Painted Hills,,Maryhill 2015 Vineyard Series Art Den Hoed Vineyard Painted Hills Dolcetto (Columbia Valley (WA)),$46, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],"Dolcetto, Italian Red",2015,Maryhill
3,14.1%,"Paso Robles Willow Creek District, Central Coast, California, US",750 ml,Red, US,5/1/2019,"Thick on the nose, this impressive bottling starts with aromas of robust cherry, freshly cut pine wood and wild chaparral herbs. It's quite lavish on the palate, with soft, creamy tannins presenting flavors of Morello cherry and fennel bulb.",,,Pelletiere 2016 Montepulciano (Paso Robles Willow Creek District),$46, California,91, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles Willow Creek District,Not rated yet [Add Your Review],"Montepulciano, Italian Red",2016,Pelletiere
4,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,5/1/2019,"Made with rare native grape Pugnitello, this opens with subtle aromas of tobacco, French oak, blackberry and leather. Smooth and tight, the taut, austere palate offers dried cherry, oak-driven spice and crushed herb set against compact close-grained tannins that grip the close. Give it time several more years to unclench, then drink to capture the remaining fruit richness.",,San Felice USA,San Felice 2015 Pugnitello (Toscana),$59, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Pugnitello, Italian Red",2015,San Felice
5,13.8%,"El Dorado, Sierra Foothills, California, US",750 ml,Red, US,5/1/2019,"This full-bodied wine is intense in color and structure, feeling quite dry and firmly tannic, but countering that austerity with substantial blackberry flavors and a good sense of freshness. Enjoy it now with indulgent, rich foods or cellar to see how it mellows. Best after 2023.",,,Starfield 2016 Aglianico (El Dorado),$38, California,89, Sierra Foothills,Jim Gordon,@gordone_cellars,El Dorado,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Starfield
6,13%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,5/1/2019,"Made entirely with organically farmed Canaiolo grapes, this opens with aromas of red berry, hay and cooking spice. The savory palate offers raspberry jam, star anise and clove alongside chewy tannins.",Loccareto,Testa Wines Of The World,Tenuta Casabianca 2015 Loccareto Canaiolo (Toscana),N/A, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Canaiolo, Italian Red",2015,Tenuta Casabianca
7,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,5/1/2019,"This is a bold, well-structured wine that combines fruity and savory notes like blackberries, mushrooms and beef juices for a concentrated, complex and rather tannic impression. It has a deep color with a brownish rim, cranberry aromas and a full, dry mouthfeel.",,,Terra d'Oro 2016 Aglianico (Amador County),$18, California,89, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Terra d'Oro
8,14%,"Castel del Monte, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"There's a focused sharpness to the nose, with aromas of red currant, cranberry and underripe red plum melding with shades of green tobacco and purple flowers. This is tense and linear on the palate, offering flavors tart red berries and peppery spice riding on a roaring river of acidity. Medium-grained, gripping tannins frame it all.",Puer Apuliae Riserva,Montcalm Wine Importers,Rivera 2013 Puer Apuliae Riserva Nero di Troia (Castel del Monte),$55, Southern Italy,91,Castel del Monte,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Nero di Troia, Italian Red",2013,Rivera
9,14%,"Montefalco Sagrantino, Central Italy, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of toast, mature blackberry, crushed herb and underbrush lead the nose. The lively, full-bodied palate offers dried cherry, prune, baking spice and licorice alongside assertive, drying tannins that clench the finish.",Tenuta Castelbuono Carapace Riserva,Taub Family Selections,Tenute Lunelli 2015 Tenuta Castelbuono Carapace Riserva  (Montefalco Sagrantino),$38, Central Italy,90,Montefalco Sagrantino,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Sagrantino, Italian Red",2015,Tenute Lunelli
