,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,12.7%,"Amador County, Sierra Foothills, California, US",750 ml,White, US,7/1/2019,"The beautiful floral aromas of this medium-bodied and soothing wine meet peach and tangy apricot flavors on the palate. It is fresh, attractive and fruity while maintaining a certain subtlety that lends sophistication.",Estate,,Bella Grace 2018 Estate Vermentino (Amador County),$25, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],"Vermentino, Italian White",2018,Bella Grace
1,12%,"California, California Other, California, US",375 ml,Sparkling, US,7/1/2019,"Clean aromas of lime and toast are very fresh and citrusy on the nose of this can of wine. There is a tangy grip to the palate, which offers simple but pleasant lime-laced pear flavors.",La Bulle-Moose Blanche,,Bonny Doon 2017 La Bulle-Moose Blanche Vermentino (California),$8, California,88, California Other,Matt Kettmann,@mattkettmann,California,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Bonny Doon
2,10.2%,"Virginia, Virginia, US",750 ml,Sparkling, US,7/1/2019,"The nose of this wine is abundant in aromas of banana, lemon curd, elderflower and sourdough. The palate is slightly nutty but the banana and elderflower notes don't shy away. Flavors of yeast, banana and florals, plus a bit of nuttiness, make for an enjoyable overall experience.",Pétillant Naturel,,Early Mountain 2018 Pétillant Naturel Malvasia Bianca (Virginia),$30, Virginia,87,Virginia,Carrie Dykes,,,Not rated yet [Add Your Review],"Malvasia Bianca, Italian White",2018,Early Mountain
3,13%,"Côtes de Provence, Provence, France",750 ml,Rose, France,7/1/2019,"Spicy and lightly smoky, this fruity wine has a mineral edge, touches of green herbs and contrasting lemon and apricot flavors. It's perfumed, crisp and ready to drink.",Eloge,Misa Imports,Domaine de la Croix 2018 Eloge Vermentino (Côtes de Provence),$22, Provence,87,Côtes de Provence,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Vermentino, Italian White",2018,Domaine de la Croix
4,13.5%,"Côtes de Provence, Provence, France",750 ml,White, France,7/1/2019,"Young, crisp fruit has an herbal character as well as ripe peach flavors, giving a sense of warmth while retaining the freshness of this wine. Developing further, it should be ready from late 2019.",,Baron Francois Ltd,Château de Pourcieux 2018 Vermentino (Côtes de Provence),$22, Provence,87,Côtes de Provence,Roger Voss,@vossroger,,Not rated yet [Add Your Review],"Vermentino, Italian White",2018,Château de Pourcieux
5,13.7%,"Potter Valley, Mendocino County, California, US",750 ml,White, US,7/1/2019,"Strong aromas of fresh earth, buttered popcorn and sauteed veggies vie for attention in this full-bodied and quite mature-tasting wine.",Nube Bianco Vineyard,,Blue Fox Cellars 2015 Nube Bianco Vineyard Tocai Friulano (Potter Valley),$25, California,84, Mendocino County,Jim Gordon,@gordone_cellars,Potter Valley,Not rated yet [Add Your Review],"Tocai Friulano, Italian White",2015,Blue Fox Cellars
6,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Aromas suggesting bread crust and hazelnut segue into yellow spring flower and citrus notes. Made with organically grown grapes, the racy focused palate delivers juicy white grapefruit, graphite, apricot and a hint of brioche alongside vibrant acidity and lively continuous perlage. Give this a few more years to develop even more complexity. Drink 2021–2028.",Brut Bio Riserva,1_No Submitting Co,Fongaro 2013 Brut Bio Riserva  (Lessini Durello),N/A, Veneto,93,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2013,Fongaro
7,12%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Bread crust, crushed rock, chamomile and apricot aromas mingle with a whiff of smoke. On the elegant palate, bright acidity and a silky perlage provide the refined backdrop for mature yellow apple, pastry cream and citrus zest. A mineral vein carries over to the dry finish.",120 Mesi Extra Brut,Zeman Global Selections,Gianni Tessari 2008 120 Mesi Extra Brut  (Lessini Durello),$65, Veneto,93,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2008,Gianni Tessari
8,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Pastry dough, yellow stone fruit and citrus aromas lead the way on this elegant sparkler. Made with organically farmed native grape Durella, the savory, polished palate doles out Golden Delicious apple, orange zest, bread crust and a hint of crystallized ginger alongside a mineral vein. The silky perlage and fresh acidity give it weightless balance.",Brut Riserva,1_No Submitting Co,Fongaro 2011 Brut Riserva  (Lessini Durello),N/A, Veneto,93,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2011,Fongaro
9,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Aromas of smoke, bread crust, yellow flower and crushed rock lift out of the glass. On the vibrant, savory palate, fresh acidity lifts yellow peach, pastry dough and lemon cream alongside an elegant perlage. A savory mineral note lingers on the finish.",36 mesi,Il Pioppo,Sandro de Bruno NV 36 mesi  (Lessini Durello),N/A, Veneto,93,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",,Sandro de Bruno
