,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This is a beautifully structured wine, perfumed from wood aging and ripe in a black plum flavor. It is powered by concentrated tannins and dynamic, juicy fruit. This bottling is one of a trilogy of wines sourced from the different terraces in the vineyards, with this coming from the third terrace above the river. Drink from 2021.",Clos Triguedina Les Selections Parcellaires Les Galets,Vineyard Brands,Jean-Luc Baldès 2014 Clos Triguedina Les Selections Parcellaires Les Galets Malbec (Cahors),$49 , Southwest France,95,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2014,Jean-Luc Baldès
1,14.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,This wine is a reminder of the history of Cahors. Once the area produced so-called Black Wines because the must was cooked and because the color was dark. This strongly wood-aged bottling recreates that in a gloriously dense wine with powerful tannins as well as opulent black fruits. Drink this compelling wine from 2021.,Clos Triguedina The New Black Wine,Vineyard Brands,Jean-Luc Baldès 2014 Clos Triguedina The New Black Wine Malbec (Cahors),$110 , Southwest France,94,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2014,Jean-Luc Baldès
2,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"Produced from the best parcels of this biodynamically run estate, this wine is powerful and very rich. Even after five years, it is packed with firm tannins and layers of spice and new wood. But it also has immense fruitiness and will come together impressively. Drink from 2022.",Grand Vin,Monsieur Touton Selection Ltd,Château de Chambert 2014 Grand Vin Malbec (Cahors),$35 , Southwest France,94,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2014,Château de Chambert
3,13%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"One of a trilogy of wines from the different terraces that mark the Cahors vineyards, this bottling comes from the second terrace above the river. It is well balanced, rich in tannins and in black fruits, full while also elegant. This is a particularly fine vintage, complex and ageworthy even after five years. Drink from 2020.",Au Coin du Bois,1_Not Imported into US,Jean-Luc Baldès 2014 Au Coin du Bois Malbec (Cahors),$49 , Southwest France,94,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2014,Jean-Luc Baldès
4,14%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"Named after the statue of the Virgin Mary that dominates this part of the vineyard, this wine is powerful, perfumed with new wood and packed with structured black-plum and berry fruits. The wine is rich with both fruit and potential. Drink from 2021.",Notre Dame des Champs,DHI Selections,Domaine de Cause 2015 Notre Dame des Champs Malbec (Cahors),$52 , Southwest France,93,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2015,Domaine de Cause
5,14.40%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,6/1/2019,"This wine is subtly layered, rich and appealing from the complex aromas of spiced cherry and vanilla to the ripe and concentrated fruit flavors and on to a lingering finish. While full bodied, it is warmly wrapped in soft tannins for a velvety mouthfeel.",Reserve,,Concannon 2016 Reserve Malbec (Livermore Valley),$38 , California,92, Central Coast,Jim Gordon,@gordone_cellars,Livermore Valley,Not rated yet [Add Your Review],Malbec,2016,Concannon
6,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"The third wine in the Baldès trilogy of bottlings from the different terraces above the rive Lot that mark the Cahors vineyards, this comes from the plateau at the top. The wine is tight, characterized by big tannins and intense structure. Very firm still, it is likely to keep a strong sense of structure as it ages further. Drink this wine from 2021.",Les Petites Cailles,Vineyard Brands,Jean-Luc Baldès 2014 Les Petites Cailles Malbec (Cahors),$49 , Southwest France,92,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2014,Jean-Luc Baldès
7,14%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"From the oldest vines on the estate, this is a structured, concentrated wine. Ripe black-plum-skin flavors and dark tannins reveal a wine that will age for several more years. Drink from 2022.",La Lande Cavagnac,Tri-Vin Imports,Domaine de Cause 2016 La Lande Cavagnac Malbec (Cahors),$45 , Southwest France,92,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2016,Domaine de Cause
8,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"Situated at a high point of the Cahors vineyards above the river Lot, this estate has produced a rich, tannic and structured wine. Its bold fruits and tannins, smoothed by the 12 months in wood, are very ageworthy. Drink from 2020.",Prieuré de Cénac,Vinovia Wine Group,Les Vignobles Saint-Didier Parnac 2017 Prieuré de Cénac Malbec (Cahors),$24 , Southwest France,91,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2017,Les Vignobles Saint-Didier Parnac
9,14.80%,"Red Hills, Lake County, California, US",750 ml,Red, US,6/1/2019,"This concentrated and exuberant wine has a reduced aroma on first whiff, but quickly turns rich and generous, showing black-fig, blackberry and turned earth aromas followed by ripe black fruits, plenty of spicy complexity, full body and firm tannins.",,,Boatique 2016 Malbec (Red Hills),$35 , California,91, Lake County,Jim Gordon,@gordone_cellars,Red Hills,Not rated yet [Add Your Review],Malbec,2016,Boatique
10,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"Now ready to drink, this rich black-fruit-flavored wine with touches of mint is dense with tannins to contrast with the dark fruitiness. It is ripe, smoky and complex.",Lou Prince,Petit Vin,Domaine du Prince 2013 Lou Prince Malbec (Cahors),$41 , Southwest France,90,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2013,Domaine du Prince
11,15%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This richly mature wine is a fine expression of rich Malbec. Dense and still with some tannins in place, the wine has weight smoothed by toastiness and spice. The blackberry fruits are still up front, fragrant and fresh. Drink this wine from late 2019.",Le Chêne du Prince,Petit Vin,Domaine du Prince 2015 Le Chêne du Prince Malbec (Cahors),$18 , Southwest France,90,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2015,Domaine du Prince
12,13%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This well-balanced wine shows both the tannins of Cahors and the fruit. It has structure, with a dry core that contrasts with the rich black fruits, laced with acidity and full of potential. Drink from 2020.",Malbec,"Vintage Imports, Inc",Lionel Osmin & Cie 2016 Malbec Malbec (Cahors),$12 , Southwest France,90,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2016,Lionel Osmin & Cie
13,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This old vineyard in the heart of the Cahors landscape has produced a rich, smoothly textured wine. The juicy black Malbec certainly has tannins, but the ripe fruitiness shines. The wine is dense, full of flavor and will be ready to drink from 2021",,Wine Circle,Château Labastide Haute 2016 Malbec (Cahors),$17 , Southwest France,90,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2016,Château Labastide Haute
14,13%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This stylish wine is full of complex black fruits, spice and fragrant tannins. It is still ready to age with its dry core and ripe while fresh fruitiness. Drink from 2020.",Calos Grande Réserve,Lionstone International,Les Vignobles Saint-Didier Parnac 2016 Calos Grande Réserve Malbec (Cahors),$22 , Southwest France,90,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2016,Les Vignobles Saint-Didier Parnac
15,14.20%,"Yolo County, Central Valley, California, US",750 ml,Red, US,6/1/2019,"Well balanced, firm in texture and complex in flavor, this wine shows light wood-smoke and black-pepper aromas, meaty, plummy flavors and a lightly tannic mouthfeel. While slightly on the lean side in terms of fruit, it's appetizing and complex.",,,Berryessa Gap 2016 Malbec (Yolo County),$25 , California,89, Central Valley,Jim Gordon,@gordone_cellars,Yolo County,Not rated yet [Add Your Review],Malbec,2016,Berryessa Gap
16,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"A firm and tannic wine with ripe blackberry fruits and touches of spice from wood aging, this is solid and worth aging further. It is densely textured, with a dry core that needs to soften. Drink from 2020.",Calos Réserve,Lionstone International,Les Vignobles Saint-Didier Parnac 2016 Calos Réserve Malbec (Cahors),$15 , Southwest France,89,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2016,Les Vignobles Saint-Didier Parnac
17,14%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This entry-level wine from the Saint-Didier Parnac vineyards is designed for early drinking. Gentle tannins are bolstered by fresh black fruits and acidity as well as a warm, rich texture. Drink the wine from late 2019.",Mission de Picpus,Vinovia Wine Group,Les Vignobles Saint-Didier Parnac 2017 Mission de Picpus Malbec (Cahors),$15 , Southwest France,88,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2017,Les Vignobles Saint-Didier Parnac
18,14%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This is a style of Malbec that is ready to drink young and fruity. With berry and black-currant flavors, ripe tannins and a good balance between acidity and maturity, it is densely textured and can be drunk now.",L'Envoi du Prince,Petit Vin,Domaine du Prince 2015 L'Envoi du Prince Malbec (Cahors),$14 , Southwest France,88,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2015,Domaine du Prince
19,12.50%,"Comté Tolosan, Southwest France, France",750 ml,Red, France,6/1/2019,"Part of Osmin's series called Le Conservatoire highlighting grapes from southwest France, this wine shows some of the tannins of the Malbec while really emphasizing the black fruits. It is young but will develop quickly. Drink from late 2019.",,"Vintage Imports, Inc",Lionel Osmin & Cie 2017 Malbec (Comté Tolosan),$9 , Southwest France,88,Comté Tolosan,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2017,Lionel Osmin & Cie
