,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Fragrant and refined, this stunning red opens with captivating aromas of woodland berry, rose, violet, ground spice and a whiff of new leather. On the firm, elegantly structured palate, taut refined tannins intertwine with succulent red cherry, crushed raspberry, licorice and chopped herb while fresh acidity lends balance. It's already tempting but still young so give the tannins a few more years to unwind. Drink 2021–2034.",Asili Riserva,Vias Imports,Produttori del Barbaresco 2014 Asili Riserva  (Barbaresco),$68, Piedmont,97,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
1,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Wild berry, fragrant blue flower, baking spice and a balsamic note of menthol shape the nose. Structured and focused, the tense palate delivers juicy red cherry, raspberry compote, star anise and cinnamon while taut, fine-grained tannins and bright acidity provide the backbone. It has a youthfully austere finish that promises great aging potential. Drink 2022–2036.",Montefico Riserva,Vias Imports,Produttori del Barbaresco 2014 Montefico Riserva  (Barbaresco),$68, Piedmont,97,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
2,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Forest floor, new leather, rose and red-berry aromas mingle with a whiff of camphor. Youthfully austere, the taut palate shows serious aging potential, presenting juicy cherry, cranberry, star anise and orange slice set against tightly knit, noble tannins and firm acidity. Drink 2022–2034.",Rabajà Riserva,Vias Imports,Produttori del Barbaresco 2014 Rabajà Riserva  (Barbaresco),$68, Piedmont,97,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
3,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Forest floor, red-skinned berry, leather and tobacco aromas mingle with a balsamic note. The focused, structured palate delivers juicy Morello cherry, raspberry compote and licorice while a graphite note backs up the finish. A backbone of fine-grained tannins and bright acidity gives it an age-worthy structure. Drink 2021–2034.",Montestefano Riserva,Vias Imports,Produttori del Barbaresco 2014 Montestefano Riserva  (Barbaresco),$68, Piedmont,96,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
4,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"New leather, camphor, red-berry and rose aromas lead the way on this vibrant red. The medium-bodied palate offers sour cherry, pomegranate and white pepper accompanied by bright acidity and polished fine-grained tannins that lead to a firm finish.",Rio Sordo Riserva,Vias Imports,Produttori del Barbaresco 2014 Rio Sordo Riserva  (Barbaresco),$68, Piedmont,95,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
5,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Lovely aromas of perfumed berry, rose petal, aromatic herb and baking spice set the tone on this fragrant red. The ethereally elegant, medium-bodied palate is all about finesse and balance, delivering succulent red cherry, juicy raspberry, cinnamon and a dash of white pepper. It's nicely balanced, with polished tannins and fresh acidity. It's already accessible but will also age well over the next several years or more. Drink through 2026.",Ovello Riserva,Vias Imports,Produttori del Barbaresco 2014 Ovello Riserva  (Barbaresco),$68, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
6,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Menthol, woodland-berry and crushed herb aromas slowly take shape on this fragrant red. The savory palate doles out juicy Morello cherry, cranberry and licorice while bright acidity and polished tannins provide seamless support. Drink through 2029.",Pora Riserva,Vias Imports,Produttori del Barbaresco 2014 Pora Riserva  (Barbaresco),$68, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
7,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Violet, wild-berry and ground clove aromas take center stage while the medium-bodied palate shows juicy cherry, raspberry compote and star anise. Vibrant acidity and refined tannins provide an elegant framework. Drink 2021–2031.",Pajè Riserva,Vias Imports,Produttori del Barbaresco 2014 Pajè Riserva  (Barbaresco),$68, Piedmont,94,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
8,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Elegantly structured, this vibrant wine opens with aromas of underbrush, rose petal, red woodland berry and a whiff of new leather. The graceful palate boasts great energy and is delicately delicious, delivering juicy red cherry, pomegranate, star anise and white pepper. Polished tannins show some grip on the lingering finish. Drink 2020–2029.",Muncagota Riserva,Vias Imports,Produttori del Barbaresco 2014 Muncagota Riserva  (Barbaresco),$68, Piedmont,93,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Produttori del Barbaresco
9,14%,"Barbaresco, Piedmont, Italy",750 ml,Red, Italy,6/1/2019,"Aromas of truffle, smoke, leather and wild berry take center stage. Boasting an earthy elegance, the medium-bodied palate offers dried cherry, cranberry, star anise and a hint of game set against grainy tannins that leave a firm drying finish. It's still rather austere and needs a few more years to unwind. Drink 2021–2027.",Marcarini,Volio Vino,Rivetto 2015 Marcarini  (Barbaresco),$41, Piedmont,92,Barbaresco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2015,Rivetto
10,15%,"Sforzato di Valtellina, Lombardy, Italy",750 ml,Red, Italy,6/1/2019,This opens with aromas of steeped prune and baking spice that carry over to the full-bodied palate along with cherries marinated in spirits and star anise. Fine-grained tannins provide the framework and lend finesse.,Infinito,Gran Fondo Wine,Scerscè 2013 Infinito  (Sforzato di Valtellina),$45, Lombardy,91,Sforzato di Valtellina,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2013,Scerscè
11,13%,"Valtellina Superiore, Lombardy, Italy",750 ml,Red, Italy,6/1/2019,"Aromas of ripe red berry, baking spice and a whiff of pressed violet lift out of the glass. Ethereal and savory, the bright racy palate offers crushed strawberry, red cherry and white pepper alongside lithe silky tannins and vibrant acidity. It's rather light bodied but delicious. Drink through 2022.",Essenza,Gran Fondo Wine,Scerscè 2014 Essenza  (Valtellina Superiore),$27, Lombardy,90,Valtellina Superiore,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2014,Scerscè
12,12%,"Valtellina, Lombardy, Italy",750 ml,Red, Italy,6/1/2019,"Aromas of red cherry, crushed rock and a whiff of camphor shape the nose. It's bright and supple, offering juicy strawberry, alpine herb, star anise and a hint of graphite alongside lithe tannins. It's easygoing and savory and made to be enjoyed young so drink soon.",Nettare,Gran Fondo Wine,Scerscè 2016 Nettare  (Valtellina),$19, Lombardy,90,Valtellina,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,2016,Scerscè
13,12.5%,"Vino Spumante, Italy Other, Italy",750 ml,Sparkling, Italy,6/1/2019,"Made with Nebbiolo, this bright sparkler offers delicate aromas of wild berry, bread crust, crushed aromatic herb and a hint of acacia honey. The aromas carry over to the vibrant palate along with citrus zest and ginger set against a lively continuous perlage. It's balanced, with fresh acidity.",Punte dei Tre Ciabot Brut,Vitis Imports,Cascina Ballarin NV Punte dei Tre Ciabot Brut Nebbiolo (Vino Spumante),$30, Italy Other,90,Vino Spumante,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Nebbiolo,,Cascina Ballarin
