,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,15.5%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Red, US,7/1/2019,"From a mountainous property that's the only vineyard on the southern side of the Santa Ynez River comes this rugged, rustic and brawny bottling. Nearly opaque in the glass, it begins with aromas of black currant, peppercorn and tar. The palate is structured with chunky tannins and shows cassis, fudge and loamy soil flavors, with a smoked coffee finish.",,,Refugio Ranch 2016 Petite Sirah (Santa Ynez Valley),$40, California,91, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Refugio Ranch
1,14.7%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2019,"Though the more affordable line from this winery, this bottling stands out strongly, offering intense aromas of açaí, Concord grape, blueberry, spearmint and a pinch of pepper. The peppercorn and purple fruit combination shows on the palate as well, which is lush but well structured and full of acid.",,,Le Vigne 2016 Petite Sirah (Paso Robles),$26, California,91, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,Le Vigne
2,14%,"Maipo Valley, Chile",750 ml,Red, Chile,7/1/2019,"A black color and ripe aromas of berry fruit, cassis, licorice and peppery spice set the stage for a full but edgy palate. Berry and spiced plum flavors hollow out on the finish of this commendable Petite Sirah.",Gran Reserva El Acacio Vineyard,Trinchero Family Estates,Carmen 2016 Gran Reserva El Acacio Vineyard Petite Sirah (Maipo Valley),$19,Maipo Valley,89,,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Petite Sirah,2016,Carmen
3,13.9%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2019,"Black-plum sauce aromas are lifted by licorice and violet on the nose of this bottling. The palate is loaded with purple flavors, from violet to elderflower and elderberry, wrapped in sticky tannins.",Di Ranchita Vista,,Le Vigne 2016 Di Ranchita Vista Petite Sirah (Paso Robles),$45, California,89, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,Le Vigne
4,14.8%,"Monterey, Central Coast, California, US",750 ml,Red, US,7/1/2019,"Very dark in the glass, this bottling offers fresh smashed blackberry and fruity Concord grape aromas. It's quite thick and fruit forward on the palate, with sweeter blueberry and violet flavors.",,,Brecon Estate 2016 Petite Sirah (Monterey),$56, California,88, Central Coast,Matt Kettmann,@mattkettmann,Monterey,Not rated yet [Add Your Review],Petite Sirah,2016,Brecon Estate
5,14.1%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2019,Dark red-fruit aromas meet with clove and star anise on the slightly sour nose of this bottling. Dried red-plum flavors mix with an array of herbs on thee earthy palate.,The Pergola,,Hearst Ranch 2016 The Pergola Petite Sirah (Paso Robles),$35, California,87, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,Hearst Ranch
6,15.5%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"This wine begins reduced with strong aromas of diesel and tar. It continues on the palate in an intensity of perfumed violet and lilac, followed by white pepper and grilled meat. Thick and concentrated in ripeness and power, it allows room for its acidity to speak, freshening the proceedings with ease.",Sweetwater Springs Vineyard,,Jeff Cohn 2016 Sweetwater Springs Vineyard Petite Sirah (Russian River Valley),$50, California,94, Sonoma,Virginie Boone,@vboone,Russian River Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Jeff Cohn
7,14.5%,"Lake County, Lake County, California, US",750 ml,Red, US,6/1/2019,"For all of its imposing black color and silty tannins, this opulent wine is also luscious and enticing, drenched in superripe and luxurious blackberry and cassis flavors that absolutely coat the palate and linger long on the finish. While not oaky, it has the sur lie richness and viscosity and shows dashes of cocoa, cardamom and clove. Best after 2023.",,,Sol Rouge 2015 Petite Sirah (Lake County),$45, California,94, Lake County,Jim Gordon,@gordone_cellars,Lake County,Not rated yet [Add Your Review],Petite Sirah,2015,Sol Rouge
8,15.8%,"Mendocino, Mendocino County, California, US",750 ml,Red, US,6/1/2019,"This luxurious, expressive and concentrated wine combines power with finesse. An ebony color with a thin carmine rim leads to extra-deep blueberry, blackberry and unsweetened cocoa aromas and flavors that are layered and complex. The wine is big in structure but not overripe. It is well balanced, built for a long life ahead but also harmonious enough to enjoy before it peaks. Best after 2025.",L. Venturi Vineyard,,Portalupi 2016 L. Venturi Vineyard Petite Sirah (Mendocino),$38, California,93, Mendocino County,Jim Gordon,@gordone_cellars,Mendocino,Not rated yet [Add Your Review],Petite Sirah,2016,Portalupi
9,14.9%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,6/1/2019,"There's a compelling aroma of slate-driven minerality on the nose of this bottling alongside violet, lilac and candied black currant. The palate is also floral in character, with lavender decorating the black-plum core, which is also spiced by peppercorns and framed in sticky tannins.",,,Peloton 2016 Petite Sirah (Paso Robles),$34, California,92, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,Peloton
