,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13%,"Baden, Germany",750 ml,White, Germany,6/1/2019,"Fermented in large oak barrels and matured on its lees for 12 months, this is an exceptionally rich, textural Pinot Gris boasting integrated accents of toast and vanilla. Yellow apple and pear flavors mingle into a creamy swirl on the palate but are balanced pertly by brisk acidity and a smoky hit of hazelnut on the finish. It's a stately wine that should improve well through 2026.",Schlossberg Achkarren GG,DFV Wines,Franz Keller 2016 Schlossberg Achkarren GG Pinot Gris (Baden),$65,Baden,94,,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],Pinot Gris,2016,Franz Keller
1,12.5%,"Lodi, Central Valley, California, US",750 ml,White, US,6/1/2019,"Elegant and well balanced, this smooth and supple wine has just the right equilibrium between fresh appley flavors, brisk acidity and a good touch of viscosity for a smooth mouthfeel and finish.",,,Thomas Allen 2017 Pinot Grigio (Lodi),$20, California,91, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Pinot Grigio,2017,Thomas Allen
2,13.3%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,6/1/2019,"Appealing aromas of freshly cut yellow apple and melon lead to full-feeling, plentiful pear flavors. The sense of texture heightens the appeal.",,,Joleté 2017 Pinot Gris (Columbia Valley (WA)),$19, Washington,90, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Pinot Gris,2017,Joleté
3,13%,"El Dorado, Sierra Foothills, California, US",750 ml,White, US,6/1/2019,This medium-bodied wine wraps crisp apple and lemon flavors in a buttery texture that brings in vanilla and nutmeg on the palate and finish. It's a relatively lightweight wine with big flavors that leave a lingering impression.,,,Boeger 2017 Pinot Gris (El Dorado),$16, California,90, Sierra Foothills,Jim Gordon,@gordone_cellars,El Dorado,Not rated yet [Add Your Review],Pinot Gris,2017,Boeger
4,13.1%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,6/1/2019,"This supple, layered wine offers varietal fruit flavors of apple and pear, but also cuts through the palate with crisp daikon radish, cucumber, celery and cilantro. It's not underripe in any way, but those tart green components lift the finish nicely.",,,Westmount 2017 Pinot Gris (Willamette Valley),$20, Oregon,90, Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2017,Westmount
5,12.9%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,6/1/2019,"Aromas of white peach, lemon balm, citrus and wet stone are followed sleek, citrusy flavors that extend on the long, lemon rind-filled finish. The acid balance kicks it up a notch.",,,Boomtown 2017 Pinot Gris (Columbia Valley (WA)),$19, Washington,90, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Pinot Gris,2017,Boomtown
6,13.4%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,6/1/2019,"A pale, pretty light wheat hue, this surprises with exceptional concentration. It's a clean, fruit-driven style, notable for its varietally true scents and flavors of freshly cut pear. A delicate whiff of cinnamon invades the finish; all in all an outstanding bottle.",,,Kudos 2018 Pinot Gris (Willamette Valley),$15, Oregon,90, Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2018,Kudos
7,13.5%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,6/1/2019,"A spicy wine with fresh flavors of pear, this also carries an unusual whiff of body powder. It's medium in weight and fermented entirely in stainless steel.",Logsdon Ridge Vineyard Rudolfo,,Lumos 2017 Logsdon Ridge Vineyard Rudolfo Pinot Gris (Willamette Valley),$19, Oregon,88, Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2017,Lumos
8,13.5%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,6/1/2019,"Pleasantly fruity but rather generic, this all-purpose, everyday white wine may be enjoyed for its balanced flavors of citrus, apple and peach.",Caleb Knorr,,Abiqua Wind 2017 Caleb Knorr Pinot Gris (Willamette Valley),$15, Oregon,87, Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2017,Abiqua Wind
9,13.9%,"Sonoma Coast, Sonoma, California, US",750 ml,White, US,6/1/2019,"With a steely nose, this wine becomes lush and voluptuous on the palate, with a medium-bodied take on lemon rind, melon and fleshy guava.",,,Folie à Deux 2017 Pinot Gris (Sonoma Coast),$18, California,87, Sonoma,Virginie Boone,@vboone,Sonoma Coast,Not rated yet [Add Your Review],Pinot Gris,2017,Folie à Deux
