,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.5%,"Rogue Valley, Southern Oregon, Oregon, US",750 ml,White, US,6/1/2019,"New winemaker Andy McVay debuts with this vintage, showing a warm and generous style right off the bat with this lush and lovely Viognier. Citrus and peach fruit is accented with cucumber, jicama and green melon. It trails off gently into a fresh finish with a touch of wet stone.",Sundown Vineyard,,Dobbes Family Estate 2017 Sundown Vineyard Viognier (Rogue Valley),$26, Oregon,91, Southern Oregon,Paul Gregutt,@paulgwine ,Rogue Valley,Not rated yet [Add Your Review],Viognier,2017,Dobbes Family Estate
1,14.5%,"Pays d'Oc, Languedoc-Roussillon, France",750 ml,White, France,6/1/2019,"Light gold in color, this opens with an assertive toasted oak character, coupled with notes of grilled apple, peach pit, candied orange peel and pie crust. The palate is light in weight but soft in acidity, with round, mouthfilling flavors of wood-grilled apple, honeycomb and lightly toasted brioche. A honeyed nuttiness lingers on the enduring finish.",Terres,Advantage International,Domaine de la Baume 2016 Terres Viognier (Pays d'Oc),N/A, Languedoc-Roussillon,89,Pays d'Oc,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Viognier,2016,Domaine de la Baume
2,14%,"Pays d'Oc, Languedoc-Roussillon, France",750 ml,White, France,6/1/2019,"This highly aromatic wine smells fresh and herbal, with pronounced notes of sweet grass, orange blossom and touches of gingered pear and green fig. The palate is light and zippy, with good acidity and a pleasant freshness that's expressed in flavors of lime and orange zest. The finish is clean and bright, with a mouthwatering persistence.",Elisabeth,Advantage International,Domaine de la Baume 2017 Elisabeth Viognier (Pays d'Oc),$15, Languedoc-Roussillon,88,Pays d'Oc,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Viognier,2017,Domaine de la Baume
3,13.5%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,6/1/2019,"The aromas intrigue, with notes of dried apricot, apple and spice. The fruit flavors are light, coming up short on the finish.",Votligeur,,Maison Bleue 2016 Votligeur Viognier (Walla Walla Valley (WA)),$40, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Viognier,2016,Maison Bleue
4,13.5%,"Pays d'Oc, Languedoc-Roussillon, France",750 ml,White, France,6/1/2019,"This is a pretty representation of the variety's typical character, with notes of fresh peach, lychee and yellow melon on the nose and mouth, all hit by floral accents of crushed rose petal. Medium weight and smooth on the palate, it has a slick but not viscous texture and ample acidity to lift the ripe tropical-fruit tones.",,Continent Wines Inc,Les Tannes en Occitanie 2017 Viognier (Pays d'Oc),$15, Languedoc-Roussillon,87,Pays d'Oc,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Viognier,2017,Les Tannes en Occitanie
5,13.8%,"Rogue Valley, Southern Oregon, Oregon, US",750 ml,White, US,6/1/2019,"This is a bulky, blocky wine, with chunky fruit flavors of peach and banana. It's 100% varietal, a forward fruit bomb of a wine that will be best over the next couple of years.",,,Del Rio 2017 Viognier (Rogue Valley),$20, Oregon,86, Southern Oregon,Paul Gregutt,@paulgwine ,Rogue Valley,Not rated yet [Add Your Review],Viognier,2017,Del Rio
6,13%,"Pays d'Oc, Languedoc-Roussillon, France",750 ml,White, France,6/1/2019,"A subtle note of lemon verbena is coupled with hints of crushed chalk, underripe guava, tart peach and melon rind on the delicate nose of this wine. The palate is surprisingly round and fleshy in feel, with notes of peach, fig and sweet orange. Acidity is soft and light, lending just enough lift to the ripe fruit tones to keep the wine from feeling flabby or flat.",,Maritime Wine Trading Collective,Les Jamelles 2017 Viognier (Pays d'Oc),$10, Languedoc-Roussillon,86,Pays d'Oc,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Viognier,2017,Les Jamelles
7,13.5%,"Pays d'Oc, Languedoc-Roussillon, France",750 ml,White, France,6/1/2019,"There's a slightly reductive tone to the nose of this wine, with a hint of struck match that blows off with air. Beyond that, notes of ripe pineapple, honeydew and a touch of honeysuckle unfold on the nose, while the medium-weight palate is enlivened by enduring flavors of pithy melon rind and orange acidity. A honeyed character lingers on the end.",Organic,Advantage International,Domaine du Chateau d'Eau 2016 Organic Viognier (Pays d'Oc),$14, Languedoc-Roussillon,86,Pays d'Oc,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Viognier,2016,Domaine du Chateau d'Eau
8,13.6%,"Umpqua Valley, Southern Oregon, Oregon, US",750 ml,White, US,6/1/2019,"Sharply etched with strong botanical flavors, this young Viognier is dominated by acidity, herb, phenolics and a dominating flavor of lemon rind.",,,Foon 2017 Viognier (Umpqua Valley),$24, Oregon,85, Southern Oregon,Paul Gregutt,@paulgwine ,Umpqua Valley,Not rated yet [Add Your Review],Viognier,2017,Foon
9,13.5%,"Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,"Made with 100% Viognier, this opens with aromas of apricot, toast and an earthy note. The structured palate offers ripe yellow peach, lemon zest and vanilla while a hazelnut note wraps up the finish.",Giovin Re,Banville Wine Merchants,Michele Satta 2016 Giovin Re Viognier (Toscana),$50, Tuscany,90,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Viognier,2016,Michele Satta
